protein_id	categories	category_count
Q8R316	protein_binding	1
P25054	protein_binding	1
O00268	protein_binding	1
O08807	protein_binding	1
P04554	ion_binding	1
P42768	protein_binding	1
Q9WTL8	protein_binding	1
P45976	protein_binding	1
Q14318	protein_binding	1
Q9XES8	protein_binding	1
F4JL28	protein_binding	1
P12506	rna_binding	1
Q6MRH6	protein_binding	1
O43516	protein_binding	1
Q96AY2	dna_binding	1
P60472	protein_binding	1
P24385	protein_binding	1
Q92800	dna_binding	1
P0ACN7	dna_binding	1
Q5UB51	protein_binding	1
Q98148	protein_binding,dna_binding	2
Q71UI9	protein_binding	1
Q8GTS2	protein_binding	1
P48539	protein_binding	1
P9WHN5	protein_binding	1
Q86WX3	protein_binding	1
Q9JZ10	ion_binding	1
A0A1Z3GD08	ion_binding	1
P68336	protein_binding	1
P61012	protein_binding	1
P54252	protein_binding	1
O95630	protein_binding	1
P08047	protein_binding	1
P04480	protein_binding	1
A0A0H2ZJC1	protein_binding	1
P50542	protein_binding	1
A4L7I2	protein_binding	1
Q8N5F7	protein_binding,rna_binding	2
P05455	dna_binding,rna_binding	2
P19594	protein_binding	1
Q6GX35	protein_binding	1
O13828	protein_binding	1
Q9BP37	ion_binding	1
Q9NQC3-1	ion_binding	1
P09429	protein_binding	1
P08523	protein_binding	1
P28300	protein_binding	1
P0C746	protein_binding	1
P38862	protein_binding	1
Q9CA59	protein_binding	1
P11233	protein_binding	1
O14936	protein_binding	1
P0A7G2	protein_binding	1
A0A8H4BZT2	protein_binding	1
P51608	protein_binding	1
P14738	protein_binding	1
Q15596	protein_binding	1
Q9H0W8	protein_binding	1
P28307	protein_binding	1
P10912	protein_binding	1
P68390	protein_binding	1
Q96T21	dna_binding	1
Q9UHK0	protein_binding	1
P22470	protein_binding	1
P07516	protein_binding	1
Q07097	protein_binding	1
P44228	dna_binding	1
P09693	protein_binding	1
P28235	protein_binding	1
Q62264	protein_binding	1
P62326	protein_binding	1
P12957	protein_binding	1
Q9QWH1	protein_binding	1
O88900	protein_binding	1
Q9JJW6	protein_binding,rna_binding	2
Q06253	protein_binding,dna_binding	2
Q8K368	protein_binding	1
Q02248	protein_binding	1
O94986	protein_binding	1
Q13177	protein_binding	1
P49736	protein_binding	1
Q02629	protein_binding	1
P01097	protein_binding	1
O60706-2	protein_binding	1
A4L7I4	protein_binding	1
